Justiça#Tribunal#UF#Tipo de unidade#Classificação da unidade#Código#Unidade Judiciária#Município sede#Telefone#CEP#Endereço#Unidades Judiciárias#Estoque#Taxa de congestionamento líquida#Taxa de congestionamento total
Total###########1.124#1.519.657#58,9%#62,6%
Justiça Estadual#Total##########1.103#1.475.089#58,7%#62,2%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#3645#2º JUIZADO ESPECIAL CRIMINAL#RIO BRANCO#(068) 3226-5432#69.915-777#RUA PAULO LEMOS DE MOURA LEITE, 878. PORTAL DA AMAZÔNIA#1#45#65,1%#67,2%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#JE - JUIZADO ESPECIAL;#3644#1º JUIZADO ESPECIAL CRIMINAL#RIO BRANCO#(068) 3227-5425#69.915-777#RUA PAULO LEMOS DE MOURA LEITE, 878. PORTAL DA AMAZÔNIA#1#17#34,0%#34,0%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6379#VARA DE PROTEÇÃO A MULHER#RIO BRANCO#(068) 3211-3857#69.915-777#RUA PAULO LEMOS DE MOURA LEITE, 878. PORTAL DA AMAZÔNIA#1#2.859#50,4%#58,3%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#3638#1ª VARA DO TRIBUNAL DO JÚRI#RIO BRANCO#(068) 3211-5441#69.915-777#RUA PAULO LEMOS DE MOURA LEITE, 878. PORTAL DA AMAZÔNIA#1#249#58,3%#70,1%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#14075#VARA DE EXECUÇÕES PENAS E MEDIDAS ALTERNATIVAS#RIO BRANCO#(068) 3211-5342#69.915-778#RUA PAULO LEMOS DE MOURA LEITE, 878. PORTAL DA AMAZÔNIA#1#636#38,4%#38,4%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#3629#VARA DE EXECUÇÕES PENAIS#RIO BRANCO#(068) 3211-5455#69.915-777#RUA PAULO LEMOS DE MOURA LEITE, 878. PORTAL DA AMAZÔNIA#1#9#2,2%#2,2%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#77850#VARA DE PLANTÃO#RIO BRANCO#(068) 3211-5450#69.900-160#RUA BENJAMIN CONSTANT, 1165. CENTRO#1#4#66,7%#66,7%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77857#VARA DE PLANTÃO#TARAUACA#(068) 3462-1314#69.970-000#AVENIDA ANTÔNIO FROTA, S/N. CENTRO#1#2#66,7%#66,7%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77859#VARA DE PLANTÃO#ASSIS BRASIL#(068) 3548-1097#69.935-000#RUA DOM GIOCONDO MARIA GROTTI, N° 281, CENTRO#1#0#0,0%#-
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77843#VARA DE PLANTÃO#BRASILÉIA#(068) 3546-3307#69.932-000#AVENIDA GENY ASSIS, S/N. CENTRO#1#0#0,0%#-
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77856#VARA DE PLANTÃO#FEIJO#(068) 3463-2055#69.960-000#TRAVESSA FLORIANO PEIXOTO, 206. CENTRO#1#1#100,0%#100,0%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77849#VARA DE PLANTÃO#CRUZEIRO DO SUL#(068) 3311-1600#69.980-000#RUA RUI BARBOSA, N° 267 - CENTRO#1#1#100,0%#100,0%
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77845#VARA DE PLANTÃO#EPITACIOLANDIA#(068) 3546-3348#69.934-000#BR 317 KM 01, S/N. AEROPORTO#1#0#0,0%#-
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77847#VARA DE PLANTÃO#SENADOR GUIOMARD#(068) 3232-3740#69.925-000#AVENIDA CASTELO BRANCO, S/N. CENTRO#1#0#0,0%#-
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77851#VARA DE PLANTÃO#MANCIO LIMA#(068) 3343-1039#69.990-000#RUA JOAQUIM GENEROSO DE OLIVEIRA, 160. CENTRO#1#0#0,0%#-
Justiça Estadual#TJAC#AC#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#VJE - VARA COM JUIZADO ESPECIAL ADJUNTO;#77852#VARA DE PLANTÃO#ACRELÂNDIA#(068) 3235-1024#69.945-000#AVENIDA GOVERNADOR EDMUNDO PINTO, 581#1#1#100,0%#100,0%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6683#3ª VARA CRIMINAL DE UNIÃO DOS PALMARES#UNIAO DOS PALMARES#(082) 3281-2250#57.800-000#AV. PADRE DONALD, S/N, COHAB VELHA, UNIÃO DOS PALMARES#1#1.074#77,0%#86,2%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6360#5ª VARA DE ARAPIRACA / CRIMINAL#ARAPIRACA#(082) 3482-9517#57.311-180#RUA SAMARITANA, 190, SANTA EDWIRGENS, ARAPIRACA#1#1.839#69,6%#76,8%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8188#9ª VARA CRIMINAL DA CAPITAL / TRIBUNAL DO JÚRI#MACEIO#(082) 4009-3595#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#683#69,5%#79,2%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6366#8ª VARA CRIMINAL DE ARAPIRACA#ARAPIRACA#(082) 3482-9516#57.311-180#RUA SAMARITANA, 190, SANTA EDWIRGENS, ARAPIRACA#1#1.462#55,9%#63,7%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8191#12ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3527#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#1.406#74,2%#79,8%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6667#4ª VARA CRIMINAL DE SÃO MIGUEL DOS CAMPOS#SAO MIGUEL DOS CAMPOS#(082) 3211-0229#57.240-000#RUA CEL. FRANCISCO CAVALCANTE, 51, CENTRO, SÃO MIGUEL DOS CAMPOS#1#1.877#74,8%#81,6%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8180#2ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3528#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#1.687#85,3%#88,9%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8183#4ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3530#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#1.077#61,3%#75,3%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8214#4ª VARA CRIMINAL DE PENEDO#PENEDO#(082) 3551-2967#57.040-600#RUA FRANCISCO GUERRA, S/N, LAGOA DO OITEIRO#1#838#70,8%#77,7%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8186#7ª VARA CRIMINAL DA CAPITAL / TRIBUNAL DO JÚRI#MACEIO#(082) 4009-3712#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#857#86,7%#92,0%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8185#6ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3677#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#997#55,0%#73,7%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6220#3ª VARA DE RIO LARGO / CRIMINAL#RIO LARGO#(082) 4009-3062#57.100-002#RODOVIA AL 210, KM 4, GUSTAVO PAIVA, RIO LARGO#1#1.454#83,1%#86,6%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8201#JUIZADO DA VIOLÊNCIA DOMÉSTICA E FAMILIAR CONTRA A MULHER#MACEIO#(082) 2126-9667#57.040-600#PÇ. VISCONDE DE SINIMBU, 119, CENTRO, MACEIÓ#1#3.878#68,8%#69,1%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#6229#3ª VARA CRIMINAL DE SANTANA DO IPANEMA#SANTANA DO IPANEMA#(082) 3621-1940#57.500-000#AV. PRES. DUTRA, BR 316, MONUMENTO, SANTANA DO IPANEMA#1#684#51,5%#70,3%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8181#3ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3529#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#1.189#70,5%#77,8%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8190#11ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3593#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#1.297#80,7%#81,2%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8189#10ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3537#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#806#59,8%#71,5%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8195#16ª VARA CRIMINAL DA CAPITAL / EXECUÇÕES PENAIS#MACEIO#(082) 4009-5731#57.040-600#CAMPUS UNIVERSITÃ¡RIO A C SIMÃµES Â€“ UFAL, BR 104, KM 97,6 Â€“ SN, TABULEIRO DOS MARTINS#1#12.118#79,2%#79,2%
Justiça Estadual#TJAL#AL#UNIDADES JUDICIÁRIAS DE PRIMEIRO GRAU#V - VARA;#8196#17ª VARA CRIMINAL DA CAPITAL#MACEIO#(082) 4009-3562#57.040-600#AV. JUCA SAMPAIO, 206, BARRO DURO#1#678#50,7%#59,5%
